fiscal_year,awarding_agency_id,funding_agency_id,annual_spending
,253,253,1416239311.7
,253,254,1219118.56
,253,261,15460532.35
,253,263,1239.0
,253,265,1239.0
,254,254,1784613.46
,255,,16000202.53
,255,255,480367758.750001
,259,,657780163.59
,259,252,197892.11
,259,259,3275138024.19
,259,261,2547116.73
,259,315,0.0
,259,782,0.0
,259,1188,20257162.07
,259,1219,4210861.4
,260,260,397499143.51
,260,1188,5659767.24
,261,,22948108.54
,261,39,193632086.66
,261,252,27448.0
,261,253,17125474.75
,261,261,1710079674.33
,262,,149992148.22
,262,252,459020.42
,262,262,1145018435.55
,263,,29538499128.71
,263,263,5258069897.75
,263,648,17149.18
,265,,8586839.32
,265,265,112291409.31
,266,,0.0
,268,,750000.0
,269,,0.0
,270,,1122426.0
,270,270,9001638.1
,270,296,12444.47
,270,300,7000.0
,271,,65568111.21
,271,268,172183.57
,271,269,3546835.5
,271,270,10142.8
,271,271,81349292.93
,271,272,1351112.0
,271,273,68500.0
,271,274,4360633.26
,271,275,743583.73
,271,276,0.0
,271,279,2885412.38
,271,281,0.0
,271,283,674029.0
,271,287,14099081.89
,271,288,6415898.9
,271,290,2185226.79
,271,291,70648230.96
,271,292,38070343.4
,271,293,87408752.41
,271,294,4934245.94
,271,295,4578608.7
,271,296,16190346.77
,271,297,1560568.23
,271,300,429890.87
,271,301,10457335.16
,271,302,19009459.74
,271,303,1222202.86
,271,305,12002130.11
,272,,100000.0
,275,,58771361.0
,279,,0.0
,290,,666840937.75
,290,290,31170848.94
,291,,30510053378.04
,291,291,98657054.52
,291,292,313198477.03
,291,302,42600.0
,291,305,1981765.4
,293,,976952.75
,300,,61538293.0
,300,296,552000.0
,300,300,26731733.85
,301,,466232008.93
,301,301,160006884.0
,302,,501287397.72
,303,,4535450.0
,305,,62335957.0
,306,,394000.0
,307,,350000.0
,308,,473342.42
,308,308,63521716.28
,315,,9586433629.63001
,315,3,30924.29
,315,7,485708.23
,315,48,27383528.79
,315,89,0.0
,315,95,1111013.55
,315,154,0.0
,315,183,904316.22
,315,184,1390.5
,315,186,22122.86
,315,195,15271.4
,315,201,10385.61
,315,252,4253961.97
,315,253,298362.79
,315,255,104387.9
,315,262,115945.24
,315,263,4842.83
,315,265,1610.88
,315,315,8914741668.42006
,315,457,10771.88
,315,459,3922.66
,315,468,24212.25
,315,479,1926.09
,315,491,10912.41
,315,539,14133.69
,315,614,0.0
,315,619,14069.96
,315,620,164356.07
,315,694,8690.06
,315,731,22493.83
,315,751,4488.62
,315,767,0.0
,315,768,26444.24
,315,769,20799.61
,315,770,252959.8
,315,772,46068.32
,315,773,3446405.45
,315,776,3105772.16
,315,777,35143.63
,315,778,310946.25
,315,782,10442.0
,315,785,17492.64
,315,789,92893.41
,315,801,29836258.52
,315,805,25521.99
,315,806,295401.38
,315,812,4122.27
,315,815,1945256.76
,315,824,614304.17
,315,825,84522.12
,315,827,34344.64
,315,828,17194.28
,315,829,4287.19
,315,830,4890.54
,315,862,16260.23
,315,882,28682.4
,315,930,377275.62
,315,1068,0.0
,315,1127,7372.64
,315,1154,68315.77
,315,1163,682901.58
,315,1166,26199.0
,315,1173,13011995.97
,315,1174,2958512.71
,315,1177,1650.0
,315,1187,2797.2
,315,1188,7237654.97
,315,1196,953333.81
,315,1205,12643.6
,315,1208,235928.0
,315,1209,55017.94
,315,1216,207853.86
,315,1217,74252.29
,315,1220,377379.83
,315,1223,45259.0
,315,1226,28424.22
,315,1231,24590.16
,315,1235,14391.22
,315,1251,347.42
,320,,0.0
,320,320,21154699.79
,456,,0.0
,457,,55386562.67
,457,456,0.0
,457,457,96473865.46
,459,459,7822525.99
,468,,0.0
,469,,130000.0
,470,,0.0
,470,470,1381000.0
,474,,0.0
,478,,35323363.95
,478,478,25783071.52
,479,,14911231.07
,479,48,1105135.01
,479,67,0.0
,479,68,2377430.87
,479,457,7814065.65
,479,459,3355145.06
,479,465,4167165.14
,479,468,12208399.89
,479,470,39212964.59
,479,478,2412009.0
,479,479,140830731.32
,479,487,7638399.01
,479,488,72104.19
,479,495,10066364.46
,479,496,1006780.16
,479,554,0.0
,479,699,0.0
,479,770,0.0
,479,879,0.0
,479,880,24043184.16
,479,882,146097.24
,479,886,0.0
,479,1141,448437.6
,479,1142,57070.31
,479,1146,40196.0
,479,1147,94080.0
,479,1157,366762.51
,479,1158,13243794.56
,479,1165,6361228.8
,486,,-2402346.24000001
,486,486,355036839.299999
,487,,488564840.17
,487,487,21319013874.58
,488,,170646.43
,488,488,44403247.95
,489,,2449986.37
,489,489,8529800.32
,491,,262371546.66
,491,457,116518343.65
,491,486,6201289.61
,491,491,1126028324.77
,495,495,343542311.0
,503,,72573641.53
,503,252,3443325.0
,503,503,5566373135.46
,503,1173,825730.0
,535,,10223182.0
,538,,8235522.22
,538,538,35886183.1
,539,,297491294.12
,539,539,868812104091.358
,552,,4000.0
,552,552,97264849.6900001
,554,,36136606.08
,554,554,117607060.63
,555,,36828332.33
,555,555,381781010.47
,558,,18000.0
,558,558,2455890.24
,559,,1573732.75
,559,559,54924695.94
,560,,520000.0
,560,560,16085831.73
,561,,884027498.27
,561,561,21112885900.0301
,561,636,96856.0
,568,568,385268.67
,580,,5940972919.0
,580,561,37507515728.0
,580,568,644367.990000001
,580,580,4775752374.58
,588,588,44702194.08
,595,595,72060367412.0
,610,,5000.0
,610,610,1046092.97
,611,,1264262.44
,611,611,26277168.94
,614,,0.0
,614,634,0.0
,617,,242780.03
,617,617,1263183.45
,618,,3474089.0
,618,614,0.0
,618,618,5658686.08
,618,626,21814522.31
,618,630,0.0
,618,634,9902.28
,618,636,1287169.56
,618,638,56000.0
,618,640,3268218.44
,618,641,16500.0
,620,,0.0
,633,,4518029.41
,633,95,118553.0
,633,149,326905.0
,633,184,-450.0
,633,262,399773.0
,633,539,136466.95
,633,561,600818.57
,633,633,54970.72
,633,634,139432.0
,633,732,27101.98
,633,770,5410770.0
,633,773,36438.0
,633,782,119780.66
,633,801,40376.0
,633,830,23572.0
,633,930,534802.0
,633,1173,214883.36
,633,1174,19835.3
,633,1222,347606.0
,634,,9339640.96
,634,39,815672.77
,634,48,15148699.81
,634,95,2781078.1
,634,100,110240.88
,634,130,16556873.99
,634,136,330.15
,634,149,9918742.16
,634,150,113907.0
,634,153,0.0
,634,158,243355.54
,634,168,129496.0
,634,176,1509140.04
,634,183,115644.38
,634,184,103998.16
,634,195,4800184.2
,634,201,5354.91
,634,213,845828.0
,634,214,3590.98
,634,227,4825915.6
,634,228,734930.79
,634,233,2065303.0
,634,235,423354.2
,634,236,26811.24
,634,237,292975.64
,634,239,901431.28
,634,240,608599.9
,634,252,7639827.65
,634,253,6983580.02
,634,255,2277571.06
,634,259,36740.0
,634,262,8740493.68
,634,267,20565.83
,634,271,19366815.38
,634,288,37.95
,634,290,3927.0
